"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"1","5","1","5","2","3","1","5","1","5","4","4","4","3","2","4","2","1","4","1","5","1","4","2","3","2","5","3","2","2","2","4","3","4","3","4","3","3","2","3","4","2","5","1","4","2","4","4","4","4","44804","2935","2823","1224","1720","2583","6744","1823","2705","1409","1880","1817","2432","801","2769","1984","2288","2689","2992","2536","4240","1721","1345","2304","3951","1320","5680","6640","2575","1751","1640","2687","3824","4031","2384","4344","1671","2224","3161","2320","2136","3232","1304","2296","1864","2816","2617","1719","5719","872","2016-07-04 04:19:22","1600","900","10","176",13,1,"FR","48.86","2.35"
"3","5","5","5","5","1","5","5","1","5","5","2","5","1","5","5","5","5","5","5","4","5","1","5","1","4","1","5","5","3","2","4","5","3","3","1","5","3","3","4","5","1","5","1","5","1","5","1","5","5","15631","6838","9563","13217","4768","4298","3409","6907","5719","2731","7826","9580","2929","9161","4228","4222","1178","6539","2495","6354","11004","16784","6248","3200","4180","3328","10898","7902","2126","9098","9135","1280","5229","4052","5385","16907","3040","5134","8431","10155","4614","6251","4511","5635","2938","5523","4580","4702","2970","2657","2017-04-10 18:06:13","360","640","59","317",20,169,"US","37.4192","-122.0574"
"1","2","1","4","2","1","1","2","3","5","4","2","5","4","5","4","2","1","5","1","1","4","1","4","2","3","4","3","2","4","4","3","4","3","1","3","5","1","5","5","5","1","5","1","4","1","5","4","5","5","12024","7048","4286","11623","13540","5632","6023","8697","12421","3735","14711","4894","4586","6422","5948","3993","11539","3925","4918","7978","9260","18142","15456","21186","22796","9177","6599","7369","6432","8287","2872","21263","11172","12908","4939","19368","7434","6555","6003","12387","7536","17460","3716","18385","6564","5847","4312","7256","5085","10666","2017-07-22 21:43:12","360","640","46","472",16,1,"US","40.6706","-78.2386"
"3","2","3","3","2","4","3","4","3","5","4","1","3","2","3","3","4","3","4","3","2","2","3","4","3","4","3","4","4","3","3","1","4","2","3","2","4","2","4","4","3","2","4","2","4","2","4","4","5","4","4038","4066","2150","2121","2392","2569","2880","3114","3551","3026","2684","3150","2559","3697","3280","8117","3036","2948","2480","2736","2226","7821","2597","3016","2832","2247","3825","2248","2393","10323","2139","2802","2811","6179","4465","3629","2958","2881","2618","3796","2588","5020","2033","2220","2949","4961","2986","2324","7666","1867","2018-10-16 07:32:09","1366","768","16","174",11,3,"CA","43.2566","-79.8683"
"3","1","3","2","5","1","4","3","4","2","2","4","4","2","2","2","2","2","2","2","1","5","1","5","1","5","2","4","4","5","4","2","3","1","4","2","4","2","4","4","3","2","4","3","4","2","4","4","4","4","6430","2056","3998","2779","2269","3926","2143","2355","1982","1876","3298","2410","2588","4028","1981","1774","2040","1567","1349","1994","4257","2025","2195","1405","3070","1358","1716","2094","5911","1636","1457","2810","1605","3105","2118","3954","1965","3399","1179","1551","1833","3454","2114","2994","1205","2164","3591","2563","3353","1182","2018-02-08 12:03:55","1567","882","7","128",9,23,"US","44.035","-103.3782"
"1","3","3","5","2","5","2","5","5","5","3","3","3","2","4","3","4","3","3","3","3","3","2","3","3","5","4","4","3","2","3","2","2","4","2","4","3","3","2","2","2","3","3","4","3","3","3","2","5","3","9293","6291","31060","41087","3183","3269","3838","4762","7146","4085","12882","4171","3341","25568","4270","4209","5909","3295","2665","5057","4069","3578","15195","4140","4789","3701","4666","3682","4049","3724","2877","4089","5084","3452","3299","10145","4320","11281","2838","11061","16339","14296","10699","3108","2794","7335","3205","3535","3039","2526","2018-10-03 00:11:07","360","720","43","365",7,1,"PH","10.8742","125.0025"
"5","1","3","1","5","1","5","3","2","1","2","3","3","2","4","2","3","2","4","1","3","3","3","2","1","3","1","3","4","3","5","2","4","2","3","3","3","3","4","3","3","3","3","3","4","3","3","1","4","5","6976","2832","2856","4271","4120","2537","5569","3295","3985","2025","4631","4024","8145","5696","2976","3000","4126","3505","2895","6104","3247","2976","22399","2800","4894","3640","5703","6937","250408","2608","2073","3528","5121","5857","2833","4240","9961","4159","2288","2905","4368","4640","1768","2616","4415","4502","5762","2591","3359","2271","2018-05-27 17:35:13","1280","1024","14","470",22,63,"NZ","-41.0","174.0"
"3","4","3","3","2","4","3","4","1","5","2","3","4","0","3","2","4","4","3","0","4","4","2","4","1","4","1","4","5","3","2","4","3","4","3","4","3","3","2","3","2","4","5","3","3","1","2","3","4","4","8726","3326","3697","11361","4442","3894","4590","5546","5864","3991","4806","2935","3162","0","3037","4828","3903","3081","2954","0","1172","3207","3049","2784","5422","1697","5163","3703","4250","6967","10650","3214","5030","3259","7539","3288","5769","3154","9395","2769","2415","6643","3481","3177","2436","5391","5243","2015","4510","3287","2017-08-25 07:02:52","1366","768","7","216",21,84,"US","41.5003","-85.8281"
"4","1","4","2","0","1","5","2","5","3","2","3","2","4","5","5","5","4","4","1","1","5","1","4","2","5","1","3","5","5","2","2","4","1","3","2","3","3","2","3","5","1","5","1","0","1","5","5","5","5","5790","3079","2985","1541","0","2054","4700","3566","1505","2644","3944","4857","5684","3637","1891","4599","3119","4055","1574","2228","3441","2172","2149","1781","4395","1669","1568","3558","3755","1842","3244","4181","3040","8636","4786","3701","3251","1954","1450","2403","961","3622","1222","3079","0","1725","1189","1779","3072","3943","2016-12-09 11:37:56","1536","864","11","148",9,1,"US","46.7748","-92.1084"
"1","3","3","4","2","3","2","4","2","5","0","3","5","2","2","2","2","2","2","2","2","5","2","4","2","4","2","4","4","3","2","4","4","2","2","4","2","2","2","2","4","2","5","1","3","2","4","4","5","4","3803","2959","3795","1724","1583","1800","986","1604","1600","1420","0","2169","1922","1647","2378","1148","1830","1248","1367","816","2903","1352","1675","1344","2625","2376","1379","3816","1275","5820","1243","1935","2355","3203","1655","2752","2706","2670","1241","3537","2587","3061","1212","2021","1201","1946","1900","1067","1999","1010","2018-09-24 09:20:01","1024","1366","4","102",12,1,"US","38.0","-97.0"
"2","4","3","4","3","4","2","4","2","4","3","4","4","3","3","3","3","3","3","2","2","0","1","4","2","4","0","5","3","4","2","1","4","3","2","1","4","1","2","4","4","3","5","2","3","3","3","4","4","3","12284","8974","5998","6372","5802","7022","4094","4554","7418","3676","5200","6928","6490","5046","5398","5070","6162","4388","4336","4748","9326","0","7976","8162","5742","5818","0","5420","8974","14242","1922","9160","8152","5970","3678","6372","6324","11316","944","6020","3546","9202","1234","5590","6958","10012","5264","3286","2102","5656","2018-06-12 09:38:08","1280","1024","10","300",44,1,"US","38.0","-97.0"
"5","1","5","3","5","1","5","5","5","1","4","5","5","1","3","3","3","3","1","1","1","4","1","5","1","5","1","5","5","5","4","4","5","1","3","1","4","1","5","4","4","2","5","4","4","1","3","5","5","5","16865","3344","2984","2792","1808","2608","8176","2984","2551","3161","8184","3280","1840","2680","7208","3552","3025","3071","2848","2472","8528","3288","2408","2848","3360","2737","3248","2273","1752","3200","2832","4496","2400","3064","2912","3935","2760","2824","1952","2583","2384","2888","2512","3760","784","2576","2671","5273","2800","2009","2016-05-25 10:23:54","1920","1080","22","178",18,1,"US","33.0017","-96.8441"
"5","2","3","2","4","2","3","3","3","4","5","3","5","2","1","4","5","5","3","2","1","4","2","4","2","5","2","4","5","4","4","3","4","3","3","3","3","2","3","3","4","2","3","3","3","3","4","4","3","3","7769","4647","3179","6278","3196","6876","2840","3909","3617","3682","2817","2618","2533","4988","6040","7593","2951","4490","2320","5779","3803","3413","4497","3768","5446","2405","3325","3776","3721","4277","1974","4791","8680","2630","2494","3480","2841","2953","1916","4289","4072","4884","2304","5452","2845","2500","3127","3388","3004","2736","2017-02-10 11:21:42","1366","768","5","199",12,15,"US","38.0467","-97.345"
"5","1","5","2","5","1","4","2","4","3","3","4","3","1","2","3","3","4","3","3","1","5","4","4","2","4","1","3","3","5","1","2","3","2","1","2","5","4","3","3","4","1","5","1","4","1","4","5","4","5","3444","1744","2784","2968","2448","2614","4482","1090","4086","2176","4344","3824","4984","4400","2994","6138","3126","2256","1304","1656","2288","3112","3488","3910","5240","2808","5270","2766","2136","2368","3680","3592","2304","1624","4296","4792","2554","2736","2200","1608","2176","2776","2682","912","1808","2350","7022","3306","2592","1986","2018-03-27 07:22:35","1280","1024","40","155",11,1,"US","42.3306","-71.1995"
"1","4","2","4","2","3","1","4","2","5","4","3","5","2","4","5","4","3","4","3","2","3","2","4","2","4","2","3","4","2","1","2","3","3","1","3","3","4","2","3","3","3","4","2","4","1","3","2","5","4","8176","3174","4251","3302","3813","5679","4827","4540","1541","2784","2591","2190","4579","3389","3861","2706","3312","2804","6321","3505","3405","3141","2041","2355","2509","5463","8409","5393","9155","5006","1680","8815","2176","3806","3319","5246","2597","17406","6861","6759","2384","11979","2408","3576","2290","4751","3875","7141","4183","1344","2017-12-03 18:55:51","1600","900","19","227",22,23,"US","30.1689","-92.0599"
"4","4","5","2","4","3","4","3","4","3","3","2","4","3","3","3","1","3","2","3","1","5","4","4","1","4","1","4","4","4","3","4","5","3","4","2","4","3","5","4","4","1","3","1","4","3","4","5","4","3","11723","15717","5019","4722","4551","4360","6521","4060","4486","6688","7307","4240","4130","5597","7469","3870","4927","3891","3728","3330","6448","1107","5874","4908","5149","6715","3864","4932","3905","6027","5249","9509","4604","5087","5194","8529","3646","5911","4282","7439","4037","6525","5199","4227","4009","4237","3990","6176","4021","3817","2018-03-13 15:35:10","360","640","39","273",18,1,"SE","59.3294","18.0686"
"5","1","4","1","4","4","4","1","5","2","4","2","4","2","3","4","4","3","4","4","1","5","2","5","2","4","1","4","5","5","3","5","5","3","1","4","3","3","2","2","5","2","4","2","4","2","4","4","4","4","8960","969","1268","1526","1685","2287","2352","2113","1901","1312","3353","1626","728","1001","6020","1418","2297","3277","1481","3470","2327","1075","2105","1892","1541","3027","1601","3318","1530","1671","5548","2042","2434","4528","1118","481","2345","4412","1725","2812","1096","1657","1686","2769","2486","1337","839","3258","2367","2450","2018-09-18 09:33:45","375","667","19","125",12,1,"US","38.0","-97.0"
"1","3","4","2","4","2","3","4","3","3","3","4","2","4","2","1","1","1","2","2","3","4","1","3","4","2","3","4","3","3","3","1","4","2","3","2","3","2","4","4","4","1","3","2","4","1","5","3","4","4","10602","6767","9030","6925","6379","6168","12610","5410","7271","13199","4706","8689","4711","9390","13347","7724","5665","1160","8269","4172","12908","7812","3544","12902","19160","8449","7603","6233","15056","4461","4853","7193","17760","1507","13231","9359","10185","16538","10636","4974","7685","4997","17200","13810","1395","8140","8614","4956","7926","10818","2016-03-30 02:25:29","768","1024","1230","434",9,4,"DE","51.0","9.0"
"1","5","2","5","1","4","1","5","1","4","1","2","2","4","1","1","2","1","2","2","4","1","3","1","4","1","5","3","1","3","5","1","5","1","4","1","5","1","5","4","5","1","2","1","5","4","4","5","4","4","2786","3459","2940","5631","4598","5273","3306","2803","2896","7106","2052","6233","3006","4629","3283","1341","2012","3615","3865","4187","5041","1999","3677","1405","2571","2070","2217","7014","2356","4873","3071","2339","2681","2816","4659","3337","1717","1626","9732","989","2055","3982","2565","5408","2333","17961","2593","2984","16322","2705","2016-09-26 17:26:42","1366","768","752","202",10,3,"CA","43.5325","-80.2531"
"2","2","3","2","5","1","4","5","1","2","2","3","4","4","1","2","1","1","2","1","2","5","2","5","1","5","1","3","3","3","3","4","3","3","2","2","3","3","1","3","5","1","1","1","5","4","4","5","5","5","3515","4007","3010","5209","2409","2188","4145","3564","3678","4548","4482","5217","3468","3611","7131","3037","4177","3126","3587","2543","6985","4144","4988","3578","3528","1918","2627","6688","5093","9416","3375","3716","4610","3311","-12298","6169","2377","4562","3770","2640","1710","3807","6437","4481","5500","7029","3898","5122","3644","1825","2017-06-26 20:44:19","1280","800","13","210",11,1,"US","44.0715","-92.5279"
"4","2","4","4","3","3","3","3","5","3","2","4","3","4","5","4","2","1","3","2","4","4","2","3","4","2","2","3","3","3","3","2","5","5","1","4","4","4","4","4","5","1","4","1","3","2","4","5","5","4","8488","7737","6919","7576","4241","9474","8525","9163","9103","6298","5816","4464","2975","35627","8071","9262","7553","4811","12277","8233","4896","5679","4216","17607","5952","7515","4873","11480","4117","6411","5232","14384","6387","4326","12501","12300","3064","13764","5357","37347","2667","4104","3385","4452","5022","12847","4453","8593","2430","12461","2016-05-01 13:07:05","1920","1080","2","426",13,1,"CH","46.5362","6.6589"
"4","1","5","1","5","1","5","2","5","2","3","4","4","3","1","3","4","2","3","2","1","4","1","3","2","5","1","5","4","4","4","2","4","1","3","2","5","2","4","5","5","1","5","1","5","1","3","5","4","5","13147","2468","2796","5917","1051","2374","3177","782","3004","2283","4068","3102","5408","2386","4733","10198","5570","14116","7300","3456","2710","1947","2054","6011","6300","3652","3541","9781","749","6111","3486","7187","3082","5238","3716","1000","1150","9672","3565","3051","2249","3630","562","2615","1879","3017","5483","3215","3685","1669","2017-04-07 08:26:56","320","568","3","211",19,11,"US","33.5909","-86.4908"
"3","4","3","4","3","2","4","4","2","4","4","3","4","3","4","4","3","3","4","2","4","4","1","4","2","4","2","4","2","3","5","3","3","3","3","1","4","3","4","3","3","4","2","2","3","2","3","2","4","4","219063","2336","2819","3732","1862","1874","6892","2532","4078","1042","1728","1460","3910","2462","5514","2397","2695","2061","1041","18705","3565","1091","1742","1605","2550","2063","1071","3843","3222","2185","1813","2511","3902","2028","5443","3728","3330","3482","1419","1477","2926","4844","2424","2619","1257","2400","3253","2373","4826","1632","2018-10-12 09:22:41","1366","768","21","370",12,1,"IE","53.3478","-6.2597"
"3","4","2","5","4","4","1","4","3","5","4","2","4","3","4","4","3","2","4","2","4","3","4","3","4","3","4","3","2","3","4","4","4","4","2","4","4","3","4","2","2","3","4","1","5","3","4","2","2","5","8343","1529","1344","1376","1584","1766","2449","2656","1880","1280","1023","1832","1961","1688","2280","1993","2449","1728","2953","1072","1312","1960","2608","3231","2136","1329","2111","2025","1761","2536","1601","2512","1520","970","1384","1928","1400","1568","1263","2617","1976","2120","1072","2673","1794","2928","1200","1736","1617","919","2017-07-18 02:21:48","1366","768","90","100",8,2,"NONE","NONE","NONE"
"4","2","4","3","5","2","4","3","2","3","4","4","3","4","2","2","3","2","3","2","1","5","1","5","2","5","5","4","5","5","3","4","0","3","3","4","5","3","3","3","4","1","4","2","3","4","4","4","4","4","8936","4180","4335","9099","3799","2700","4999","6307","4766","1697","4373","21054","7507","3020","3791","2921","2183","3450","2315","2461","5355","4503","9342","4189","5328","2650","3601","4303","3169","2313","17784","8032","0","3629","5521","4229","1582","2217","1882","3506","6182","5931","7298","3203","1626","6235","14991","2701","1938","4566","2018-08-30 12:44:15","375","667","10","253",17,2,"US","42.1861","-72.5255"
"4","3","2","0","3","2","2","5","2","5","5","1","5","1","5","5","5","5","5","5","2","5","2","4","2","5","2","4","4","5","2","4","4","4","1","5","3","4","2","3","5","2","5","3","4","2","4","3","2","4","13203","4401","5553","0","4843","3067","4848","5999","3547","3510","2981","3376","2282","3498","2191","3454","8390","2544","2610","4064","6422","3144","2928","3066","4232","7395","2944","5224","4613","4518","3084","4077","4638","3334","5300","4544","3326","3443","4468","4342","2476","5055","5040","3174","3040","3728","6973","3848","4625","3484","2018-08-24 12:42:26","360","640","21","213",9,1,"CA","45.3349","-63.2375"
"3","1","5","2","4","1","4","3","3","2","3","3","4","5","5","2","2","2","3","1","1","5","1","4","1","5","1","4","3","4","2","4","3","3","2","4","3","2","2","3","2","2","4","2","4","3","2","2","3","3","5982","2758","2372","2868","6082","2716","5187","2646","5787","2360","2746","4752","3122","3703","2533","3216","2554","6559","2197","3276","1626","3284","3803","2329","3255","4159","3641","3425","3437","2695","2217","4191","783","2115","2563","3906","1077","1264","1699","3672","2411","3213","2442","3346","1690","3274","4250","2005","3285","2309","2016-09-07 12:58:28","1366","768","24","159",16,4,"US","34.9379","-82.1451"
"4","3","2","3","3","3","0","3","4","3","2","4","3","3","2","2","3","2","4","3","4","0","3","4","4","4","4","3","4","2","4","3","4","2","4","3","4","1","4","4","4","1","5","2","3","2","4","4","4","3","600067","1898","3158","2011","1947","4645","0","1106","1315","4689","4214","1948","4356","1770","3746","1546","1179","1387","1612","1347","864","0","3166","2044","2465","1867","4912","2557","1542","3338","1122","4052","4028","1757","2308","3230","1848","4075","1499","1948","9562","3133","1314","2000","914","1651","1887","2227","1370","1299","2016-11-25 02:43:22","1440","900","4","720",8,1,"AU","-33.9005","151.1878"
"2","5","1","4","2","4","2","4","2","4","4","3","4","2","5","3","2","2","4","4","4","3","2","1","5","2","3","2","1","2","4","4","2","4","2","4","5","4","4","4","1","3","2","1","2","5","4","2","5","2","67022","10283","24985","154826","12632","18232","25484","10933","137605","4580","51145","33039","187045","28644","2728","145443","17766","15166","11315","14032","66809","80086","140137","67624","10132","94296","26482","40487","10117","7382","56790","27769","39499","257563","43293","77335","21419","40466","1669","45737","15483","271389","8568","39137","117820","8414","44002","131972","6038","4716","2018-07-10 01:47:46","375","667","4","2780",13,1,"IT","42.8333","12.8333"
"2","4","1","3","1","4","1","5","2","5","1","5","1","2","5","5","3","5","4","2","5","5","1","1","5","1","5","2","2","5","3","2","1","1","1","1","5","1","5","5","3","3","5","3","5","1","5","2","5","4","4951","5320","7712","100485","2458","4314","2136","11687","4891","1863","4048","9392","2592","5824","2425","5333","2329","2306","2891","1454","3608","2384","2592","4624","4041","2103","4780","3559","2964","1751","9080","6615","2648","3208","1743","4186","2771","4088","1567","4289","4128","45229","1992","3702","1181","2571","3807","5655","2796","2996","2016-05-24 05:24:17","1152","720","6","331",13,2,"US","38.0","-97.0"
"4","1","2","4","3","1","1","4","2","5","5","2","5","1","5","4","4","5","4","5","1","5","4","5","2","5","1","4","5","1","4","4","3","4","3","3","4","5","3","2","4","2","5","2","4","2","1","4","4","4","52078","10227","8643","12758","78391","4450","2001","3111","6465","1810","1467","2281","21942","4158","8512","1362","4761","2978","1758","1542","43531","18783","5157","4734","30555","1265","2476","7133","2511","3130","15383","3196","102948","1271","5263","6465","2969","4156","2867","4590","5589","3339","839","15409","1526","3864","5847","6803","4231","1673","2017-10-06 20:46:04","1366","768","19","554",15,1,"US","38.0","-97.0"
"3","4","5","3","4","3","3","3","3","4","3","3","4","1","3","1","1","1","1","1","2","4","1","5","3","4","3","3","3","5","5","1","0","1","5","1","5","3","5","4","3","4","3","4","3","3","4","1","4","3","4799","3203","2642","10412","1221","2004","2432","3968","3540","5418","2222","3092","3560","2258","2298","3511","4564","2130","920","3572","5863","3086","2034","5980429","2857","5340","2731","2552","1543","2812","6250","12452","0","3478","2678","4047","3010","3168","2441","2282","4844","5040","4857","4451","1988","3866","2796","1926","2281","1956","2018-02-13 15:09:57","2560","1440","7","6156",10,1,"US","38.0","-97.0"
"1","2","5","4","4","2","4","5","2","2","2","4","4","2","2","2","2","3","2","4","2","5","1","5","2","5","2","5","5","5","4","4","4","2","3","1","4","2","5","4","3","1","4","2","4","1","5","2","5","4","5691","2408","2008","2959","1729","2448","3047","3760","6711","2072","2031","3600","5024","3673","3360","3280","4607","5352","4393","2808","6051","1712","2200","2633","4087","2009","2600","2576","5105","2623","2168","5960","1664","3759","5024","14736","4937","2408","1703","6808","2888","3728","3201","1799","3744","3016","3104","2329","3944","2040","2017-08-31 01:15:21","1536","864","2","182",9,3,"US","39.1857","-78.1633"
